,url,categories,season
162,https://www.thespruceeats.com/chocolate-martini-recipe-759628,"['Vodka Cocktails', 'Drinks & Cocktails', 'Cocktails', 'American Food', 'Recipes By Course']",
163,https://www.thespruceeats.com/chocolatini-cocktail-for-sweet-tooths-761028,"['Liqueurs', 'Cocktails', 'Vodka Cocktails', 'Cocktail Party Drinks']",
164,https://www.thespruceeats.com/christi-extreme-cocktail-recipe-761031,"['Scandinavian Food', 'Vodka Cocktails', 'Citrus Recipes']",
165,https://www.thespruceeats.com/christmas-jones-cocktail-recipe-761217,"['Vodka Cocktails', 'Berry Recipes', 'Citrus Recipes', 'Pineapple Recipes', 'Christmas Drinks']",winter
166,https://www.thespruceeats.com/chrysanthemum-cocktail-recipe-759422,"['Brandy Cocktails', 'American Food']",
167,https://www.thespruceeats.com/cinco-herradura-cocktail-recipe-760807,"['Tequila Cocktails', 'Mexican Food', 'Citrus Recipes', 'Pineapple Recipes', 'Cinco de Mayo Recipes']",spring
168,https://www.thespruceeats.com/citron-sipper-recipe-759100,"['Vodka Cocktails', 'American Food', 'Citrus Recipes', 'Vegetable Recipes']",
169,https://www.thespruceeats.com/clover-club-cocktail-recipe-760070,"['Gin Cocktails', 'American Food', 'Citrus Recipes']",
170,https://www.thespruceeats.com/club-cocktail-recipe-759423,"['Brandy Cocktails', 'Vodka Cocktails', 'Pineapple Recipes']",
171,https://www.thespruceeats.com/ciroc-coco-light-martini-recipe-759090,"['Vodka Cocktails', 'American Food', 'Fruit Recipes', 'Citrus Recipes', 'Pineapple Recipes']",
172,https://www.thespruceeats.com/coco-margarita-recipe-760808,"['Tequila Cocktails', 'American Food', 'Citrus Recipes', 'Pineapple Recipes']",
173,https://www.thespruceeats.com/cocoa-old-fashioned-cocktail-recipe-761431,"['Whiskey Cocktails', 'American Food', 'Cherry Recipes', 'Winter Drinks Cocktails']",
174,https://www.thespruceeats.com/coconut-martini-recipe-759080,"['Rum Cocktails', 'American Food', 'Fruit Recipes', 'Pineapple Recipes']",
175,https://www.thespruceeats.com/coffee-cocktail-recipe-759424,"['Brandy Cocktails', 'Cocktails', 'American Food']",
176,https://www.thespruceeats.com/coffee-old-fashioned-recipe-761345,"['Coffee', 'Cocktails', 'Whiskey Cocktails', 'American Food']",
177,https://www.thespruceeats.com/cold-in-the-shadows-cocktail-recipe-758992,"['Liqueurs', 'Beer', 'Citrus Recipes', 'Summer Cocktails']",summer
178,https://www.thespruceeats.com/colorado-bulldog-cocktail-761032,"['Vodka Cocktails', 'Drinks & Cocktails', 'Cocktails', 'American Food', 'Recipes By Course']",
179,https://www.thespruceeats.com/colt-45-cocktail-recipe-760071,"['Gin Cocktails', 'American Food']",
180,https://www.thespruceeats.com/commodore-2-cocktail-recipe-760511,"['Rum Cocktails', 'Cocktails', 'American Food', 'Citrus Recipes']",
181,https://www.thespruceeats.com/coriandrum-cocktail-recipe-761035,"['Vodka Cocktails', 'Citrus Recipes']",
182,https://www.thespruceeats.com/corpse-reviver-no-2-recipe-760015,"['American Food', 'Gin Cocktails', 'Liqueurs', 'Wine', 'Citrus Recipes']",
183,https://www.thespruceeats.com/cosmopolitan-cocktail-recipe-759633,"['Liqueurs', 'Cocktails', 'Vodka Cocktails', 'American Food', 'Citrus Recipes']",
184,https://www.thespruceeats.com/crantini-recipe-761036,"['Vodka Cocktails', 'American Food', 'Fall Drinks', 'Winter Drinks Cocktails']",fall
185,https://www.thespruceeats.com/orange-creamsicle-shots-and-cocktails-761037,"['Vodka Cocktails', 'American Food', 'Citrus Recipes']",
186,https://www.thespruceeats.com/creme-brulee-martini-761038,"['Vodka Cocktails', 'American Food']",
187,https://www.thespruceeats.com/creole-cocktail-recipe-761434,"['Whiskey Cocktails', 'American Food', 'Citrus Recipes']",
188,https://www.thespruceeats.com/cuba-libre-recipe-759291,"['Rum Cocktails', 'Caribbean Food', 'Citrus Recipes']",
189,https://www.thespruceeats.com/cuban-rose-cocktail-recipe-760512,"['Rum Cocktails', 'American Food', 'Citrus Recipes']",
190,https://www.thespruceeats.com/cucumber-mint-margarita-recipe-760767,"['Tequila Cocktails', 'Cocktails', 'American Food', 'Citrus Recipes', 'Vegetable Recipes']",
191,https://www.thespruceeats.com/cucumber-wasabi-martini-recipe-760018,"['Gin Cocktails', 'American Food', 'Citrus Recipes', 'Vegetable Recipes']",
192,https://www.thespruceeats.com/dafne-martini-vodka-and-gin-recipe-760073,"['Vodka Cocktails', 'Gin Cocktails', 'Pear Recipes']",
193,https://www.thespruceeats.com/daiquir-ease-cocktail-blueberry-lavender-daiquiri-760453,['Cocktails'],
194,https://www.thespruceeats.com/classic-daiquiri-recipe-759294,"['Rum Cocktails', 'American Food', 'Citrus Recipes']",
195,https://www.thespruceeats.com/danny-ocean-cocktail-recipe-3867105,"['Tequila Cocktails', 'Cocktails', 'Citrus Recipes']",
196,https://www.thespruceeats.com/dark-n-fluffy-recipe-760951,"['Vodka Cocktails', 'Cocktails']",
197,https://www.thespruceeats.com/dark-n-stormy-recipe-759637,"['Exploring Caribbean Food', 'Rum Cocktails', 'Latin American Food', 'Caribbean Food', 'Citrus Recipes']",
198,https://www.thespruceeats.com/death-by-chocolate-cocktail-759644,"['Liqueurs', 'Ice Cream', 'Vodka Cocktails']",
199,https://www.thespruceeats.com/deep-blue-sea-martini-recipe-761040,"['Vodka Cocktails', 'Cocktails', 'Pineapple Recipes']",
200,https://www.thespruceeats.com/delilah-cocktail-recipe-759293,"['Gin Cocktails', 'American Food', 'Citrus Recipes']",
201,https://www.thespruceeats.com/derby-cocktail-recipes-761346,"['Whiskey Cocktails', 'Gin Cocktails', 'Southern Food', 'Citrus Recipes', 'Spring Drinks']",spring
202,https://www.thespruceeats.com/devil-cocktail-recipe-759427,"['Brandy Cocktails', 'American Food']",
203,https://www.thespruceeats.com/devils-handshake-cocktail-recipe-760769,"['Tequila Cocktails', 'Cocktails', 'Citrus Recipes', 'Pineapple Recipes']",
204,https://www.thespruceeats.com/devils-punch-recipe-760813,"['Alcoholic Punch Recipes', 'Tequila Cocktails', 'American Food', 'Citrus Recipes']",
205,https://www.thespruceeats.com/diamond-martini-recipe-759639,"['Vodka Cocktails', 'Cocktails', 'Citrus Recipes']",
